Trip_ID,travel_time_minutes
TRIP_00130,11.7
TRIP_00131,26.2
TRIP_00132,8.8
TRIP_00133,11.8
TRIP_00134,29.7
TRIP_00135,41.0
TRIP_00136,22.2
TRIP_00137,9.7
TRIP_00138,12.1
TRIP_00139,9.9
TRIP_00140,42.9
TRIP_00141,150.0
TRIP_00142,38.9
TRIP_00143,14.4
TRIP_00144,25.0
TRIP_00145,15.5
TRIP_00146,18.2
TRIP_00147,90.5
TRIP_00148,28.2
TRIP_00149,16.1
TRIP_00150,27.2
TRIP_00151,19.7
TRIP_00152,54.5
TRIP_00153,27.4
TRIP_00154,42.8
TRIP_00155,98.9
TRIP_00156,41.0
TRIP_00157,71.8
TRIP_00158,19.6
TRIP_00159,21.5
TRIP_00160,39.1
TRIP_00161,52.1
TRIP_00162,75.8
TRIP_00163,16.6
TRIP_00164,49.4
TRIP_00165,23.7
TRIP_00166,55.5
TRIP_00167,18.0
TRIP_00168,86.5
TRIP_00169,29.5
TRIP_00170,28.8
TRIP_00171,6.6
TRIP_00172,60.6
TRIP_00173,35.3
TRIP_00174,40.2
TRIP_00175,78.7
TRIP_00176,13.2
TRIP_00177,28.9
TRIP_00178,24.3
TRIP_00179,105.6
TRIP_00180,17.7
TRIP_00181,19.2
TRIP_00182,24.8
TRIP_00183,40.5
TRIP_00184,11.4
TRIP_00185,34.9
TRIP_00186,59.2
TRIP_00187,51.0
TRIP_00188,14.6
TRIP_00189,32.8
TRIP_00190,42.9
TRIP_00191,15.1
TRIP_00192,45.2
TRIP_00193,14.9
TRIP_00194,33.1
TRIP_00195,53.3
TRIP_00196,30.7
TRIP_00197,7.5
TRIP_00198,31.3
TRIP_00199,5.0
TRIP_00200,24.1
TRIP_00201,30.1
TRIP_00202,27.6
TRIP_00203,64.8
TRIP_00204,33.3
TRIP_00205,84.6
TRIP_00206,80.2
TRIP_00207,67.6
TRIP_00208,7.1
TRIP_00209,54.6
TRIP_00210,17.1
TRIP_00211,78.7
TRIP_00212,33.4
TRIP_00213,30.8
TRIP_00214,27.0
TRIP_00215,116.5
TRIP_00216,33.8
TRIP_00217,9.2
TRIP_00218,4.4
TRIP_00219,52.1
TRIP_00220,9.4
TRIP_00221,35.4
TRIP_00222,17.6
TRIP_00223,41.1
TRIP_00224,21.1
TRIP_00225,31.4
TRIP_00226,9.0
TRIP_00227,22.4
TRIP_00228,10.7
TRIP_00229,4.8
TRIP_00230,34.9
TRIP_00231,18.6
TRIP_00232,33.0
TRIP_00233,58.2
TRIP_00234,21.8
TRIP_00235,26.4
TRIP_00236,120.7
TRIP_00237,14.2
TRIP_00238,11.9
TRIP_00239,35.3
TRIP_00240,21.9
TRIP_00241,61.5
TRIP_00242,123.7
TRIP_00243,50.9
TRIP_00244,16.7
TRIP_00245,105.5
TRIP_00246,10.4
TRIP_00247,32.1
TRIP_00248,127.9
TRIP_00249,46.0
TRIP_00250,25.9
TRIP_00251,10.2
TRIP_00252,82.9
TRIP_00253,5.3
TRIP_00254,27.1
TRIP_00255,48.9
TRIP_00256,22.0
TRIP_00257,34.6
TRIP_00258,53.7
TRIP_00259,10.7
TRIP_00260,14.7
TRIP_00261,132.7
TRIP_00262,27.2
TRIP_00263,53.0
TRIP_00264,55.6
TRIP_00265,15.9
TRIP_00266,90.5
TRIP_00267,116.0
TRIP_00268,41.0
TRIP_00269,161.1
TRIP_00270,40.5
TRIP_00271,36.5
TRIP_00272,61.2
TRIP_00273,10.9
TRIP_00274,43.5
TRIP_00275,28.4
TRIP_00276,57.4
TRIP_00277,4.7
TRIP_00278,72.3
TRIP_00279,83.7
TRIP_00280,21.8
TRIP_00281,16.7
TRIP_00282,67.0
TRIP_00283,41.5
TRIP_00284,23.9
TRIP_00285,10.8
TRIP_00286,73.6
TRIP_00287,52.1
TRIP_00288,14.6
TRIP_00289,14.2
TRIP_00290,15.0
TRIP_00291,8.5
TRIP_00292,55.2
TRIP_00293,67.5
TRIP_00294,31.6
TRIP_00295,12.3
TRIP_00296,86.4
TRIP_00297,21.5
TRIP_00298,7.1
TRIP_00299,11.1
TRIP_00300,18.4
TRIP_00301,44.6
TRIP_00302,40.7
TRIP_00303,18.3
TRIP_00304,38.2
TRIP_00305,69.3
TRIP_00306,59.0
TRIP_00307,20.9
TRIP_00308,18.4
TRIP_00309,26.4
TRIP_00310,34.1
TRIP_00311,59.1
TRIP_00312,38.1
TRIP_00313,14.1
TRIP_00314,22.2
TRIP_00315,11.0
TRIP_00316,15.8
TRIP_00317,65.7
TRIP_00318,15.6
TRIP_00319,71.6
TRIP_00320,24.3
TRIP_00321,23.5
TRIP_00322,64.5
TRIP_00323,5.6
TRIP_00324,27.1
TRIP_00325,55.1
TRIP_00326,53.5
TRIP_00327,116.8
TRIP_00328,14.6
TRIP_00329,44.2
TRIP_00330,61.2
TRIP_00331,68.4
TRIP_00332,11.1
TRIP_00333,19.3
TRIP_00334,44.4
TRIP_00335,54.7
TRIP_00336,22.9
TRIP_00337,47.0
TRIP_00338,41.4
TRIP_00339,15.6
TRIP_00340,18.9
TRIP_00341,65.5
TRIP_00342,12.0
TRIP_00343,18.1
TRIP_00344,45.0
TRIP_00345,79.9
TRIP_00346,61.7
TRIP_00347,44.0
TRIP_00348,53.0
TRIP_00349,64.6
TRIP_00350,81.5
TRIP_00351,11.2
TRIP_00352,49.1
TRIP_00353,16.4
TRIP_00354,17.4
TRIP_00355,15.6
TRIP_00356,8.5
TRIP_00357,7.7
TRIP_00358,62.1
TRIP_00359,27.8
TRIP_00360,54.1
TRIP_00361,16.0
TRIP_00362,18.5
TRIP_00363,67.5
TRIP_00364,3.2
TRIP_00365,16.0
TRIP_00366,64.9
TRIP_00367,19.4
TRIP_00368,5.5
TRIP_00369,28.1
TRIP_00370,29.2
TRIP_00371,76.4
TRIP_00372,20.8
TRIP_00373,35.8
TRIP_00374,11.6
TRIP_00375,20.2
TRIP_00376,26.4
TRIP_00377,15.6
TRIP_00378,54.0
TRIP_00379,47.1
TRIP_00380,25.6
TRIP_00381,8.6
TRIP_00382,34.0
TRIP_00383,12.7
TRIP_00384,74.4
TRIP_00385,14.3
TRIP_00386,41.2
TRIP_00387,50.7
TRIP_00388,45.1
TRIP_00389,20.8
TRIP_00390,26.1
TRIP_00391,34.9
TRIP_00392,35.8
TRIP_00393,80.5
TRIP_00394,47.6
TRIP_00395,158.2
TRIP_00396,21.6
TRIP_00397,61.0
TRIP_00398,92.6
TRIP_00399,18.2
TRIP_00400,28.8
TRIP_00401,59.1
TRIP_00402,21.8
TRIP_00403,36.4
TRIP_00404,68.3
TRIP_00405,92.6
TRIP_00406,25.9
TRIP_00407,16.6
TRIP_00408,30.9
TRIP_00409,14.3
TRIP_00410,15.6
TRIP_00411,34.4
TRIP_00412,95.8
TRIP_00413,34.8
TRIP_00414,44.8
TRIP_00415,69.3
TRIP_00416,93.0
TRIP_00417,33.0
TRIP_00418,22.6
TRIP_00419,90.2
TRIP_00420,90.0
TRIP_00421,54.3
TRIP_00422,21.9
TRIP_00423,11.3
TRIP_00424,21.2
TRIP_00425,34.9
TRIP_00426,23.1
TRIP_00427,105.5
TRIP_00428,20.6
TRIP_00429,29.5
TRIP_00430,13.1
TRIP_00431,29.7
TRIP_00432,34.0
TRIP_00433,15.3
TRIP_00434,16.2
TRIP_00435,126.5
TRIP_00436,22.8
TRIP_00437,42.1
TRIP_00438,10.2
TRIP_00439,46.0
TRIP_00440,41.2
TRIP_00441,110.2
TRIP_00442,10.5
TRIP_00443,36.1
TRIP_00444,128.1
TRIP_00445,24.2
TRIP_00446,39.1
TRIP_00447,33.8
TRIP_00448,4.6
TRIP_00449,35.9
TRIP_00450,45.4
TRIP_00451,40.5
TRIP_00452,11.6
TRIP_00453,19.5
TRIP_00454,30.3
TRIP_00455,12.0
TRIP_00456,15.9
TRIP_00457,10.8
TRIP_00458,74.2
TRIP_00459,18.2
TRIP_00460,22.2
TRIP_00461,7.4
TRIP_00462,36.0
TRIP_00463,54.4
TRIP_00464,44.4
TRIP_00465,108.9
TRIP_00466,68.4
TRIP_00467,20.7
TRIP_00468,29.8
TRIP_00469,67.3
TRIP_00470,26.2
TRIP_00471,23.3
TRIP_00472,37.3
TRIP_00473,88.7
TRIP_00474,11.0
TRIP_00475,13.4
TRIP_00476,24.1
TRIP_00477,40.2
TRIP_00478,91.2
TRIP_00479,72.6
TRIP_00480,13.7
TRIP_00481,23.6
TRIP_00482,63.8
TRIP_00483,66.4
TRIP_00484,60.4
TRIP_00485,32.4
TRIP_00486,26.8
TRIP_00487,51.7
TRIP_00488,65.7
TRIP_00489,41.5
TRIP_00490,12.7
TRIP_00491,17.9
TRIP_00492,58.6
TRIP_00493,47.8
TRIP_00494,81.7
TRIP_00495,37.6
TRIP_00496,17.2
TRIP_00497,108.8
TRIP_00498,78.6
TRIP_00499,17.3
TRIP_00500,22.8
TRIP_00501,13.9
TRIP_00502,106.1
TRIP_00503,8.5
TRIP_00504,13.8
TRIP_00505,39.0
TRIP_00506,28.0
TRIP_00507,42.3
TRIP_00508,11.1
TRIP_00509,25.8
TRIP_00510,16.8
TRIP_00511,112.7
TRIP_00512,29.8
TRIP_00513,66.8
TRIP_00514,108.1
TRIP_00515,147.8
TRIP_00516,30.0
TRIP_00517,15.0
TRIP_00518,40.1
TRIP_00519,39.0
TRIP_00520,25.5
TRIP_00521,30.3
TRIP_00522,12.5
TRIP_00523,53.1
TRIP_00524,24.5
TRIP_00525,16.0
TRIP_00526,21.8
TRIP_00527,31.5
TRIP_00528,37.8
TRIP_00529,32.9
TRIP_00530,24.9
TRIP_00531,8.2
TRIP_00532,96.2
TRIP_00533,24.5
TRIP_00534,92.5
TRIP_00535,46.6
TRIP_00536,56.1
TRIP_00537,14.2
TRIP_00538,117.4
TRIP_00539,41.2
TRIP_00540,35.0
TRIP_00541,46.7
TRIP_00542,57.9
TRIP_00543,76.2
TRIP_00544,46.1
TRIP_00545,39.6
TRIP_00546,39.0
TRIP_00547,16.3
TRIP_00548,49.6
TRIP_00549,24.6
TRIP_00550,5.6
TRIP_00551,16.2
TRIP_00552,17.5
TRIP_00553,84.9
TRIP_00554,40.1
TRIP_00555,18.9
TRIP_00556,21.3
TRIP_00557,42.8
TRIP_00558,24.4
TRIP_00559,26.5
TRIP_00560,18.6
TRIP_00561,33.5
TRIP_00562,14.1
TRIP_00563,90.6
TRIP_00564,19.5
TRIP_00565,27.9
TRIP_00566,152.6
TRIP_00567,29.9
TRIP_00568,19.0
TRIP_00569,58.1
TRIP_00570,16.5
TRIP_00571,90.5
TRIP_00572,15.7
TRIP_00573,81.7
TRIP_00574,18.0
TRIP_00575,77.8
TRIP_00576,80.3
TRIP_00577,36.1
TRIP_00578,11.3
TRIP_00579,160.2
TRIP_00580,5.9
TRIP_00581,42.5
TRIP_00582,51.2
TRIP_00583,77.3
TRIP_00584,41.6
TRIP_00585,51.5
TRIP_00586,45.6
TRIP_00587,25.4
TRIP_00588,16.2
TRIP_00589,45.6
TRIP_00590,7.4
TRIP_00591,50.7
TRIP_00592,115.3
TRIP_00593,69.4
TRIP_00594,21.3
TRIP_00595,82.4
TRIP_00596,71.0
TRIP_00597,16.0
TRIP_00598,90.3
TRIP_00599,21.4
TRIP_00600,13.5
TRIP_00601,25.2
TRIP_00602,33.9
TRIP_00603,10.2
TRIP_00604,16.4
TRIP_00605,149.9
TRIP_00606,133.7
TRIP_00607,13.1
TRIP_00608,27.2
TRIP_00609,58.3
TRIP_00610,59.8
TRIP_00611,20.0
TRIP_00612,38.4
TRIP_00613,11.9
TRIP_00614,33.9
TRIP_00615,12.2
TRIP_00616,48.8
TRIP_00617,13.4
TRIP_00618,21.5
TRIP_00619,24.9
TRIP_00620,10.3
TRIP_00621,191.7
TRIP_00622,129.9
TRIP_00623,28.1
TRIP_00624,38.9
TRIP_00625,23.7
TRIP_00626,19.4
TRIP_00627,14.6
TRIP_00628,121.5
TRIP_00629,12.0
TRIP_00630,3.6
TRIP_00631,33.5
TRIP_00632,23.7
TRIP_00633,124.0
TRIP_00634,35.4
TRIP_00635,3.7
TRIP_00636,66.3
TRIP_00637,91.1
TRIP_00638,11.4
TRIP_00639,17.5
TRIP_00640,45.1
TRIP_00641,29.8
TRIP_00642,46.0
TRIP_00643,41.7
TRIP_00644,75.1
TRIP_00645,9.9
TRIP_00646,31.2
TRIP_00647,28.2
TRIP_00648,22.3
TRIP_00649,35.8
TRIP_00650,22.7
TRIP_00651,238.6
TRIP_00652,17.5
TRIP_00653,15.8
TRIP_00654,77.1
TRIP_00655,18.8
TRIP_00656,29.3
TRIP_00657,47.0
TRIP_00658,23.9
TRIP_00659,13.1
TRIP_00660,23.7
TRIP_00661,7.7
TRIP_00662,25.4
TRIP_00663,30.9
TRIP_00664,44.5
TRIP_00665,29.7
TRIP_00666,45.7
TRIP_00667,28.9
TRIP_00668,21.4
TRIP_00669,42.2
TRIP_00670,101.8
TRIP_00671,14.2
TRIP_00672,31.5
TRIP_00673,8.6
TRIP_00674,5.5
TRIP_00675,46.4
TRIP_00676,29.3
TRIP_00677,50.7
TRIP_00678,58.9
TRIP_00679,6.5
TRIP_00680,46.8
TRIP_00681,58.3
TRIP_00682,116.7
TRIP_00683,28.7
TRIP_00684,68.8
TRIP_00685,42.2
TRIP_00686,19.8
TRIP_00687,46.3
TRIP_00688,55.3
TRIP_00689,8.9
TRIP_00690,10.6
TRIP_00691,13.5
TRIP_00692,33.0
TRIP_00693,26.3
TRIP_00694,11.2
TRIP_00695,31.2
TRIP_00696,18.1
TRIP_00697,26.2
TRIP_00698,14.0
TRIP_00699,18.0
TRIP_00700,99.8
TRIP_00701,6.1
TRIP_00702,41.5
TRIP_00703,62.8
TRIP_00704,14.6
TRIP_00705,90.8
TRIP_00706,11.9
TRIP_00707,7.4
TRIP_00708,21.2
TRIP_00709,5.1
TRIP_00710,12.3
TRIP_00711,46.9
TRIP_00712,33.4
TRIP_00713,42.1
TRIP_00714,7.9
TRIP_00715,50.3
TRIP_00716,32.9
TRIP_00717,9.5
TRIP_00718,21.0
TRIP_00719,8.8
TRIP_00720,73.0
TRIP_00721,13.2
TRIP_00722,36.2
TRIP_00723,74.3
TRIP_00724,27.5
TRIP_00725,10.7
TRIP_00726,34.9
TRIP_00727,19.7
TRIP_00728,39.0
TRIP_00729,60.3
TRIP_00730,22.3
TRIP_00731,105.4
TRIP_00732,11.1
TRIP_00733,10.8
TRIP_00734,71.6
TRIP_00735,50.5
TRIP_00736,24.8
TRIP_00737,45.0
TRIP_00738,34.7
TRIP_00739,79.6
TRIP_00740,59.4
TRIP_00741,25.4
TRIP_00742,47.8
TRIP_00743,29.4
TRIP_00744,28.1
TRIP_00745,69.5
TRIP_00746,91.3
TRIP_00747,45.0
TRIP_00748,87.0
TRIP_00749,19.7
TRIP_00750,23.3
TRIP_00751,50.1
TRIP_00752,18.2
TRIP_00753,64.7
TRIP_00754,80.1
TRIP_00755,21.3
TRIP_00756,71.3
TRIP_00757,21.4
TRIP_00758,27.9
TRIP_00759,55.3
TRIP_00760,99.2
TRIP_00761,81.9
TRIP_00762,42.8
TRIP_00763,123.2
TRIP_00764,56.2
TRIP_00765,44.8
TRIP_00766,36.2
TRIP_00767,20.1
TRIP_00768,34.7
TRIP_00769,39.6
TRIP_00770,53.8
TRIP_00771,24.1
TRIP_00772,44.0
TRIP_00773,58.1
TRIP_00774,54.4
TRIP_00775,26.3
TRIP_00776,45.3
TRIP_00777,37.0
TRIP_00778,51.4
TRIP_00779,22.0
TRIP_00780,78.1
TRIP_00781,18.4
TRIP_00782,9.5
TRIP_00783,136.6
TRIP_00784,16.0
TRIP_00785,154.3
TRIP_00786,18.9
TRIP_00787,17.2
TRIP_00788,39.5
TRIP_00789,30.6
TRIP_00790,24.5
TRIP_00791,47.7
TRIP_00792,26.5
TRIP_00793,20.8
TRIP_00794,75.0
TRIP_00795,59.4
TRIP_00796,22.2
TRIP_00797,51.0
TRIP_00798,35.9
TRIP_00799,67.0
TRIP_00800,28.9
TRIP_00801,71.0
TRIP_00802,21.2
TRIP_00803,18.3
TRIP_00804,16.6
TRIP_00805,28.3
TRIP_00806,38.8
TRIP_00807,36.9
TRIP_00808,15.7
TRIP_00809,23.0
TRIP_00810,32.8
TRIP_00811,53.3
TRIP_00812,81.8
TRIP_00813,22.2
TRIP_00814,20.4
TRIP_00815,34.6
TRIP_00816,44.1
TRIP_00817,53.6
TRIP_00818,5.4
TRIP_00819,29.8
TRIP_00820,129.4
TRIP_00821,11.5
TRIP_00822,54.3
TRIP_00823,15.3
TRIP_00824,34.8
TRIP_00825,13.5
TRIP_00826,24.4
TRIP_00827,15.8
TRIP_00828,14.7
TRIP_00829,16.9
TRIP_00830,6.7
TRIP_00831,10.3
TRIP_00832,51.3
TRIP_00833,113.3
TRIP_00834,27.5
TRIP_00835,23.9
TRIP_00836,26.4
TRIP_00837,5.5
TRIP_00838,53.3
TRIP_00839,16.3
TRIP_00840,3.5
TRIP_00841,29.1
TRIP_00842,23.6
TRIP_00843,24.0
TRIP_00844,22.5
TRIP_00845,13.7
TRIP_00846,22.0
TRIP_00847,70.9
TRIP_00848,86.7
TRIP_00849,27.9
TRIP_00850,12.6
TRIP_00851,34.9
TRIP_00852,76.2
TRIP_00853,17.6
TRIP_00854,12.4
TRIP_00855,71.1
TRIP_00856,19.7
TRIP_00857,9.5
TRIP_00858,42.8
TRIP_00859,34.8
TRIP_00860,42.4
TRIP_00861,15.5
TRIP_00862,17.4
TRIP_00863,25.9
TRIP_00864,45.6
TRIP_00865,61.7
TRIP_00866,13.0
TRIP_00867,24.6
TRIP_00868,26.5
TRIP_00869,11.1
TRIP_00870,13.6
TRIP_00871,34.9
TRIP_00872,11.4
TRIP_00873,28.6
TRIP_00874,12.6
TRIP_00875,41.7
TRIP_00876,20.5
TRIP_00877,39.0
TRIP_00878,21.7
TRIP_00879,48.7
TRIP_00880,17.8
TRIP_00881,88.4
TRIP_00882,42.8
TRIP_00883,68.5
TRIP_00884,19.1
TRIP_00885,67.9
TRIP_00886,58.8
TRIP_00887,45.0
TRIP_00888,10.9
TRIP_00889,20.4
TRIP_00890,121.0
TRIP_00891,28.4
TRIP_00892,32.3
TRIP_00893,16.5
TRIP_00894,10.7
TRIP_00895,21.8
TRIP_00896,18.8
TRIP_00897,129.0
TRIP_00898,55.3
TRIP_00899,131.3
TRIP_00900,44.1
TRIP_00901,30.0
TRIP_00902,9.2
TRIP_00903,16.2
TRIP_00904,20.9
TRIP_00905,23.3
TRIP_00906,148.8
TRIP_00907,79.3
TRIP_00908,14.0
TRIP_00909,27.6
TRIP_00910,18.6
TRIP_00911,148.2
TRIP_00912,54.1
TRIP_00913,52.9
TRIP_00914,35.4
TRIP_00915,34.0
TRIP_00916,17.7
TRIP_00917,74.7
TRIP_00918,132.3
TRIP_00919,34.9
TRIP_00920,53.1
TRIP_00921,43.5
TRIP_00922,17.9
TRIP_00923,15.2
TRIP_00924,59.0
TRIP_00925,60.9
TRIP_00926,49.0
TRIP_00927,44.6
TRIP_00928,40.9
TRIP_00929,9.3
TRIP_00930,41.6
TRIP_00931,11.3
TRIP_00932,37.0
TRIP_00933,32.9
TRIP_00934,39.8
TRIP_00935,28.5
TRIP_00936,7.7
TRIP_00937,18.5
TRIP_00938,24.3
TRIP_00939,85.4
TRIP_00940,110.5
TRIP_00941,146.8
TRIP_00942,44.7
TRIP_00943,15.2
TRIP_00944,96.2
TRIP_00945,83.1
TRIP_00946,73.0
TRIP_00947,21.4
TRIP_00948,18.3
TRIP_00949,13.2
TRIP_00950,38.4
TRIP_00951,20.1
TRIP_00952,114.0
TRIP_00953,14.2
TRIP_00954,12.0
TRIP_00955,44.8
TRIP_00956,98.7
TRIP_00957,86.7
TRIP_00958,31.3
TRIP_00959,37.0
TRIP_00960,45.3
TRIP_00961,19.9
TRIP_00962,34.9
TRIP_00963,39.6
TRIP_00964,37.7
TRIP_00965,33.8
TRIP_00966,28.2
TRIP_00967,9.8
TRIP_00968,13.8
TRIP_00969,12.2
TRIP_00970,21.2
TRIP_00971,21.3
TRIP_00972,22.5
TRIP_00973,42.2
TRIP_00974,24.9
TRIP_00975,64.7
TRIP_00976,84.9
TRIP_00977,29.5
TRIP_00978,61.1
TRIP_00979,28.8
TRIP_00980,14.6
TRIP_00981,12.0
TRIP_00982,5.1
TRIP_00983,42.4
TRIP_00984,11.7
TRIP_00985,19.9
TRIP_00986,16.8
TRIP_00987,90.3
TRIP_00988,26.0
TRIP_00989,23.7
TRIP_00990,14.4
TRIP_00991,58.5
TRIP_00992,31.0
TRIP_00993,43.0
TRIP_00994,12.9
TRIP_00995,15.4
TRIP_00996,65.5
TRIP_00997,129.6
TRIP_00998,9.7
TRIP_00999,19.0
TRIP_01000,3.1
TRIP_01001,22.4
TRIP_01002,84.8
TRIP_01003,88.5
TRIP_01004,21.6
TRIP_01005,35.2
TRIP_01006,16.9
TRIP_01007,70.3
TRIP_01008,30.2
TRIP_01009,10.7
TRIP_01010,16.0
TRIP_01011,37.0
TRIP_01012,55.3
TRIP_01013,110.9
TRIP_01014,21.0
TRIP_01015,85.6
TRIP_01016,29.2
TRIP_01017,14.0
TRIP_01018,31.8
TRIP_01019,7.6
TRIP_01020,227.4
TRIP_01021,17.3
TRIP_01022,20.9
TRIP_01023,39.8
TRIP_01024,46.1
TRIP_01025,90.6
TRIP_01026,26.8
TRIP_01027,37.0
TRIP_01028,114.2
TRIP_01029,29.3
TRIP_01030,60.1
TRIP_01031,16.2
TRIP_01032,70.0
TRIP_01033,75.6
TRIP_01034,10.4
TRIP_01035,12.2
TRIP_01036,80.9
TRIP_01037,13.4
TRIP_01038,9.0
TRIP_01039,66.6
TRIP_01040,23.0
TRIP_01041,15.2
TRIP_01042,15.4
TRIP_01043,26.2
TRIP_01044,54.5
TRIP_01045,17.9
TRIP_01046,80.5
TRIP_01047,26.4
TRIP_01048,43.9
TRIP_01049,63.7
TRIP_01050,39.4
TRIP_01051,14.4
TRIP_01052,9.1
TRIP_01053,44.6
TRIP_01054,69.4
TRIP_01055,59.5
TRIP_01056,84.6
TRIP_01057,65.0
TRIP_01058,22.7
TRIP_01059,28.2
TRIP_01060,25.5
TRIP_01061,28.1
TRIP_01062,85.9
TRIP_01063,78.3
TRIP_01064,33.1
TRIP_01065,24.1
TRIP_01066,33.1
TRIP_01067,20.3
TRIP_01068,37.3
TRIP_01069,15.2
TRIP_01070,59.9
TRIP_01071,10.6
TRIP_01072,27.6
TRIP_01073,19.8
TRIP_01074,30.1
TRIP_01075,176.2
TRIP_01076,19.4
TRIP_01077,28.3
TRIP_01078,80.7
TRIP_01079,102.0
TRIP_01080,18.7
TRIP_01081,104.7
TRIP_01082,57.8
TRIP_01083,53.7
TRIP_01084,49.8
TRIP_01085,43.5
TRIP_01086,16.9
TRIP_01087,41.1
TRIP_01088,14.8
TRIP_01089,9.8
TRIP_01090,44.7
TRIP_01091,66.0
TRIP_01092,18.3
TRIP_01093,7.6
TRIP_01094,92.6
TRIP_01095,17.7
TRIP_01096,16.0
TRIP_01097,75.4
TRIP_01098,21.6
TRIP_01099,29.0
TRIP_01100,93.1
TRIP_01101,26.4
TRIP_01102,14.3
TRIP_01103,36.3
TRIP_01104,49.4
TRIP_01105,21.6
TRIP_01106,45.9
TRIP_01107,31.0
TRIP_01108,22.0
TRIP_01109,34.3
TRIP_01110,11.6
TRIP_01111,18.7
TRIP_01112,9.7
TRIP_01113,55.6
TRIP_01114,24.2
TRIP_01115,11.6
TRIP_01116,13.8
TRIP_01117,6.6
TRIP_01118,7.9
TRIP_01119,15.3
TRIP_01120,27.5
TRIP_01121,18.2
TRIP_01122,89.0
TRIP_01123,15.5
TRIP_01124,58.8
TRIP_01125,70.7
TRIP_01126,12.1
TRIP_01127,58.6
TRIP_01128,14.4
TRIP_01129,15.5
TRIP_01130,36.3
TRIP_01131,94.8
TRIP_01132,71.2
TRIP_01133,28.8
TRIP_01134,30.9
TRIP_01135,87.0
TRIP_01136,69.5
TRIP_01137,53.1
TRIP_01138,73.5
TRIP_01139,99.6
TRIP_01140,10.6
TRIP_01141,62.0
TRIP_01142,22.6
TRIP_01143,56.8
TRIP_01144,17.4
TRIP_01145,71.0
TRIP_01146,5.5
TRIP_01147,15.8
TRIP_01148,25.6
TRIP_01149,13.5
TRIP_01150,118.4
TRIP_01151,30.5
TRIP_01152,84.6
TRIP_01153,7.3
TRIP_01154,68.6
TRIP_01155,10.7
TRIP_01156,28.9
TRIP_01157,52.4
TRIP_01158,42.8
TRIP_01159,39.8
TRIP_01160,13.8
TRIP_01161,21.6
TRIP_01162,33.2
TRIP_01163,35.5
TRIP_01164,34.7
